#,万象,墨奇,野鹤,自然码,虎码首末,五笔前2,汉心码,首右,首右Plus
䴈,丿鳥 pn,丿鳥 pn,丿鳥 pn,鳥奥na,丿鳥 tx,tm,,,
䵅,龶{夊} fw,龶{夊} fw,龶{夊} fw,麥敖ma,龶夂 ah,gq,,,
嗸,龶口 fk,龶口 fk,龶口 fk,口敖ka｜.kw,龶口 ad,gq,,一口 hk,
墽,. tw,土攵 tw,土攵 tw,土敫tj｜.tw,土攵 gh,fr,,土丿 tp,
媼,女皿 nm,女皿 nm,女皿 nm,女皿nm｜女昷nw,女皿 ba,vl,,女丨 ns,
嫯,龶女 fn,龶女 fn,龶女 fn,女敖na｜.nw,龶女 ab,gq,,一女 hn,
岰,山幼 uy,山力 ul,口夂 el,山幼uy,山力 vs,mx,,丨纟 si,
嶴,山奥 ua,丿山 pu, pe,山奥ua,丿山 tv,tm,,丿丨 ps,
摮,龶手 fu,龶手 fu,口土 fu,手敖ua｜.uw,龶手 au,gq,,一扌 hf,
擙,扌大 fd,扌大 fd,女土 fd,扌奥fa,扌大 um,rt,,扌丿 fp,
柪,木力 ml,木力 ml,木力 ml,木幼my,木力 es,sx,,木纟 mi,
梎,木匕 mb,木匕 mb,木匕 mb,木匕mb,木匕 ev,sr,,木丿 mp,
眑,目力 ol,目力 ol,氵皿 ol,目幼oy,目力 qs,hx,,丨纟 si,
磝,石攵 uw,石攵 uw,石人 uw,石敖ua｜石攵uw,石攵 mh,dg,,一一 hh,
翶,白习 bx,白习 bx,白习 bx,.yg｜.yu,白羽 uz,ri,,丿乛 pv,
蔜,艹攵 cw,艹攵 cw,金乂 cw,艹敖ca｜艹攵cw,艹攵 lh,ag,,艹丶 cd,
謸,言攵 yw,訁攵 yw, ww,言敖ya｜言攵yw,言攵 sh,yg,,讠一 ah,
郩,㐅⻏ xe,㐅⻏ xe,㐅⻏ xe,耳肴ey,㐅阝 bt,qd,,丿乛 pv,
镺,镸夭 iy,E夭 ey, ay,镸夭iy,镸大 pm,dt,,一丿 hp,
驁,龶馬 fm,龶馬 fm,龶馬 fm,馬敖ma｜馬攵mw,龶馬 an,gq,,一火 hq,
鷔,龶鳥 fn,龶鳥 fn,龶鳥 fn,鳥敖na｜.nw,龶鳥 ax,gq,,一丶 hd,
𡊛,土去 tq,土去 tq, ts,土去tq,土厶 gk,ff,,,
𡏼,土攵 tw,土攵 tw,土攵 tw,土敖ta,土攵 gh,fg,,,
𡒃,丿土 pt,丿土 pt,丿土 pt,奥土at,丿土 tg,tm,,,
𢁱,巾夭 jy,巾夭 jy,巾夭 jy,巾夭jy,巾大 rm,mh,,,
𢕟,彳敖 xa,彳攵 rw, iw,彳敖xa,彳攵 wh,tg,,,
𢧴,龶戈 fg,龶戈 fg,口土 fg,戈敖ga｜敖戈ag,士戈 gp,gq,,,
𢲷,扌交 fj,扌父 ff, fx,扌交fj,扌乂 ub,rp,,,
𢳆,扌攵 fw,扌攵 fw,扌攵 fw,扌敖fa,扌攵 uh,rg,,,
𣊁,龶日 fo,龶日 fo,龶日 fo,日敖oa｜敖日ao,士日 go,gq,,,
𣷫,氵攵 dw,氵攵 dw,氵攵 dw,氵放df,氵攵 kh,iy,,,
𤇯,亠丿 wp,衣火 yh, wy,亠丿wp,衣火 tc,yo,,,
𤏶,火匕 hb,火匕 hb,火匕 hb,火麀hy,火 cv,oy,,,
𤺾,疒大 bd,疒大 bd,疒大 bd,疒奥ba,疒大 am,ut,,,
𥂢,龶皿 fm,龶皿 fm,龶皿 fm,敖皿am,龶皿 aa,gq,,,
𥑑,石力 ul,石力 ul,石力 ul,石幼uy,石力 ms,dx,,,
𥜌,示奥 ua,示大 ud,女土 pd,示奥ua,礻大 fm,py,,,
𦪈,龶舟 fv,龶舟 fv,龶舟 fv,舟敖va,士舟 gi,gq,,,
𦽀,艹頁 cy,艹頁 cy, ub,.ca｜艹頁cy,⺿頁 lw,at,,,
𧅃,艹灬 ch,艹灬 ch,艹灬 ch,.ca｜艹灬ch,⺿灬 lc,ao,,,
𧨲,⺌口 xk,⺌口 xk,⺌口 xk,尚言uy｜言尚yu,言 ss,ip,,,
𨱧,镸幼 iy,E力 el, al,镸幼iy,镸力 ps,dx,,,
𩈏,面力 ml,面力 ml,面力 ml,面幼my,面力 bs,dm,,,
𩑍,頁乚 yg,頁⺃ yv, av,頁乚yg,頁乚 wa,dm,,,
𩑤,午頁 wy,午頁 wy,午貝 wb,頁午yw｜午頁wy,𠂉頁 ew,tf,,,
𩕀,頁敖 ya,龶頁 fy, fb,敖頁ay｜頁敖ya,龶頁 aw,gq,,,
𩘮,敖風 af,龶風 ff,日永 fi,風敖fa｜敖風af,士虫 gc,gq,,,
𩟇,飠奥 ua,飠大 ud, rd,飠奥ua,大 qm,wy,,,
𩣻,艹馬 cm,艹馬 cm,艹馬 cm,.ma｜艹馬cm｜馬夭my,⺿馬 ln,at,,,
𩥊,亠馬 wm,亠馬 wm,亠馬 wm,馬高mg,高馬 gn,ym,,,
𩮯,髟敖 ia,E攵 ew, aw,髟敖ia,镸攵 ph,de,,,
𩱏,鬲敖 ga,龶鬲 fg, fl,鬲敖ga,士鬲 gn,gq,,,
𩼈,魚奥 ya,魚大 yd, ad,魚奥ya,魚大 wm,qo,,,
𪁾,艹鳥 cn,艹鳥 cn,艹鳥 cn,.na｜艹鳥cn｜鳥夭ny,⺿鳥 lx,at,,,
𪃨,幽鳥 yn,山鳥 un, en,幽鳥yn,山鳥 vx,xx,,,
伯,亻白 rb,亻白 rb,亻白 rb,亻白rb,亻白 ju,wr,亻白 rb,人丿 rp,人丿rp
抜,扌友 fy,扌又 fy,氵鬼 fy,扌友fy,扌又 ur,rd,,扌一 fh,
覇,覀月 xo,覀月 xo,覀月 xo,覀月xo,覀月 vv,sa,,一月 hy,
峇,山合 uh,山口 uk," ek,wk",山合uh,山口 vd,mw,,丨口 sk,
罷,罒匕 sb,罒匕 sb,罒匕 sb,罒能sn,罒匕 yv,lc,,丨乛 sv,
犮,友丶 yd,𠂇又 uy, ud,一丶ad｜友丶yd,𠂇丶 ni,dc,,一丶 hd,
丷,丶丿 dp,丶丿 dp,丶丿 dp,{丷}ba｜{丷}dm｜丶丿dp,丷 hb,uy,,丶丿 dp,
鈀,金巴 jb,金巴 jb,金巴 jb,金巴jb,金巴 zm,qc,,钅乛 jv,
哱,口子 kz,口子 kz,口子 kz,口孛kb｜口子kz,口子 dh,kf,口子 kz,口一 kh,口十kf
茇,艹又 cy,艹又 cy, cd,艹犮cb｜艹又cy,艹丶 li,ad,艹又 cy,艹丶 cd,艹又cy
軷,. ib,車又 iy, id,.ib,車丶 yi,ld,,一一 hh,
癹,癶殳 du,癶殳 bu,氵皿 vy,癶殳du,癶殳 hr,wm,,乛丶 vd,
仈,亻八 rb,亻八 rb,亻八 rb,亻八rb,亻八 jh,ww,,人丿 rp,
弝,弓巴 gb,弓巴 gb,弓巴 gb,弓巴gb,弓巴 bm,xc,,乛乛 vv,
豝,豕巴 ub,豕巴 ub,豕巴 ub,豕巴ub,豕巴 jm,ec,,一乛 hv,
鲌,鱼白 yb,鱼白 yb,鱼白 ab,鱼白yb,鱼白 wu,qg,⺈白 eb,丿丿 pp,⺈丿gp
壩,土月 to,土月 to,土月 to,土霸tb,土月 gv,ff,,土一 th,
颰,. fb,風又 fy, jd,.fb,⺇丶 oi,mt,,丿丶 pd,
炦,. hb,火又 hy, hd,.hb,火丶 ci,od,,火一 qh,
皅,白巴 bb,白巴 bb,白巴 bb,白巴bb,白巴 um,rc,,丿乛 pv,
垻,土貝 tb,土貝 tb,土貝 tb,土貝tb,土貝 go,fm,,土丨 ts,
柭,木犮 mb,木又 my,石人 md,木犮mb,木丶 ei,sd,,木一 mh,
釟,金八 jb,金八 jb,金八 jb,金八jb,金八 zh,qw,,钅丿 jp,
㔜,力孚 lf,爫力 vl, pl,力孚lf,爫力 ys,eb,,,
㖠,口奈 kn,口示 ku, kx,口奈kn,口示 df,kd,,,
㞎,尸巴 ub,尸巴 ub,尸巴 ub,尸巴ub,尸巴 cm,nc,尸巴 ub,,
㧊,. fu,扌巾 fj, fl,.fu,扌巾 ur,rg,,,
㶚,氵月 do,氵月 do,氵月 do,.db,氵月 kv,is,,,
䃻,石月 uo,石月 uo,石月 uo,石霸ub,石月 mv,df,,,
䆉,禾罷 hb,禾匕 hb,禾匕 hb,禾罷hb,禾匕 xv,tl,,,
䇑,立十 lu,立十 lu,立十 lu,立卑lb,立十 in,ur,,,
䎬,耒罢 lb,耒去 lq, ls,耒罢lb,耒厶 ak,di,,,
䎱,耒罷 lb,耒匕 lb,耒匕 lb,耒罷lb,耒匕 av,di,,,
䟦,足友 zy,𧾷又 zy,𧾷又 zy,足友zy,⻊又 pr,kh,,,
䥯,金罷 jb,金匕 jb,金匕 jb,金罷jb,金匕 zv,ql,,,
䩗,革月 go,革月 go,革月 go,革月go,革月 tv,af,,,
䩻,革馬 gm,革馬 gm,革馬 gm,革馬gm,革馬 tn,af,,,
䰾,魚巴 yb,魚巴 yb, ab,魚巴yb,魚巴 wm,qo,,,
䱝,魚卑 yb,魚十 yu, au,魚卑yb,魚十 wn,qo,,,
䳁,. nb,鳥又 ny, nd,.nb,鳥丶 xi,wv,,,
䳊,𠂇鳥 un,𠂇鳥 un,𠂇鳥 un,.nb,𠂇鳥 nx,dc,,,
叐,丿友 py,丿又 py,金乂 py,丿友py,丿又 tr,td,,丿丶 pd,
哵,口刂 kd,口刂 kd,口刂 kd,口别kb,口刂 dp,kk,,口口 kk,
夿,大巴 db,大巴 db,大巴 db,大巴db,大巴 mm,dc,,一乛 hv,
欛,木月 mo,木月 mo,木月 mo,木霸mb,木月 ev,sf,,木一 mh,
玐,王八 wb,𤣩八 wb,王八 wb,王八wb,王八 nh,gw,,王丿 wp,
矲,矢罷 ub,矢匕 ub,矢匕 ub,矢罷ub｜.un,矢匕 ov,td,,丿丨 ps,
詙,言犮 yb,訁又 yy, wd,言犮yb,言丶 si,yd,,讠一 ah,
跁,足巴 zb,𧾷巴 zb,𧾷巴 zb,足巴zb,⻊巴 pm,kh,,⻊乛 zv,
魞,魚入 yr,魚入 yr, ar,魚入yr,魚入 wj,qo,,丿丿 pp,
鮁,魚犮 yb,魚又 yy, ad,魚犮yb,魚丶 wi,qo,,丿一 ph,
鮊,魚白 yb,魚白 yb,金可 ab,魚白yb,魚白 wu,qo,,丿丿 pp,
鼥,. ub,臼又 jy,金夂 jd,.ub,鼠丶 pi,vn,,丿一 ph,
𠐌,亻罷 rb,亻匕 rb,亻匕 rb,亻罷rb,亻匕 jv,wl,,,
𠛋,巴刂 bd,巴刂 bd,巴刂 bd,.db,巴刂 mp,cj,,,
𠵺,口巴 kb,口巴 kb,口巴 kb,口巴kb,口巴 dm,ke,,,
𡚭,女八 nb,女八 nb,匚口 nb,女八nb,女八 bh,vw,,,
𢃳,彐巴 eb,彐巴 eb,土乂 eb,帚巴vb,巴 bm,vp,,,
𢇷,广丶 gd,广又 gy,⺫寸 gd,.gb｜广丶gd,广丶 xi,yd,,,
𢠭,忄寂 xj,忄又 xy,广可 ry,忄寂xj,忄又 hr,np,,,
𢺞,扌月 fo,扌月 fo, fo,扌霸fb,扌月 uv,rf,,,
𢻷,巴又 by,巴又 by,巴又 by,.wb｜攴巴pb｜巴攴bp,巴攴 mh,ch,,,
𣬶,毛巴 mb,毛巴 mb,毛巴 mb,毛巴mb,毛巴 vm,tf,,,
𣬷,巴毛 bm,巴毛 bm,巴毛 bm,巴毛bm,巴毛 mv,ct,,,
𤜕,牛相 nx,士目 to, uo,土相tx｜牛相nx,士目 gq,fp,,,
𤜱,犭巴 qb,犭巴 qb,犭巴 qb,犭巴qb,犭巴 mm,qt,,,
𤣸,王丈 wv,𤣩丈 wv,王丈 wv,王丈wv,王 nb,gd,,,
𤤒,王丶 wd,𤣩又 wy, wd,.wb｜王丶wd,王丶 ni,gd,,,
𥎱,矢丶 ud,矢又 uy, ud,.ub｜矢丶ud,矢丶 oi,td,,,
𥐙,石八 ub,石八 ub,石八 ub,石八ub,石 mh,dw,,,
𥝧,禾巴 hb,禾巴 hb,禾巴 hb,禾巴hb,禾巴 xm,tc,,,
𥥛,穴丶 xd,宀又 by,亻可 bd,.xb｜穴丶xd,丶 ei,pw,,,
𦓧,耒八 lb,耒八 lb,耒八 lb,耒八lb,耒八 ah,di,,,
𦫙,白巴 bb,白巴 bb,白巴 bb,.sb｜白色bs,白巴 um,rq,,,
𦳺,艹丶 cd,艹又 cy, cz,艹丶cd,⺿辶 lu,ad,,,
𧎱,巴虫 bi,巴虫 bi,巴虫 bi,.bk｜巴虫bi｜虫虫ii,巴虫 mc,cj,,,
𧲧,豸巴 vb,豸巴 vb,豸巴 vb,豸巴vb,豸巴 mm,ee,,,
𧺡,. zu,土巾 tj, tl,.zu,走巾 pr,fh,,,
𧺺,走丶 zd,土又 ty, td,.zb｜走丶zd,走丶 pi,fh,,,
𧿏,足丶 zd,𧾷丶 zd, zv,足丶zd,⻊ pz,kh,,,
𨊹,車巴 ib,車巴 ib,車巴 ib,車巴ib,車巴 ym,lc,,,
𩃴,雨月 yo,雨月 yo,厂寸 yo,.yc｜雨月yo,月 tv,fg,,,
𩊤,革丶 gd,革又 gy, gd,.gb｜革丶gd,革丶 ti,af,,,
𩖣,文風 wf,文風 wf,文虫 wi,風文fw｜文風wf,文虫 vc,ym,,,
𩖽,風皮 fp,風皮 fp, jy,風皮fp,⺇皮 or,mt,,,
𩚥,飠巴 ub,飠巴 ub, rb,飠巴ub,巴 qm,wy,,,
𩡩,馬八 mb,馬八 mb,馬八 mb,馬八mb,馬 nh,cw,,,
𩨜,骨巴 gb,冎巴 gb,冎巴 gb,骨巴gb,巴 fm,me,,,
𩹏,鮊犬 bq,魚犬 yq, aq,鮊犬bq,魚犬 wm,qo,,,
𩽷,魚霸 yb,魚月 yo, ao,魚霸yb,魚月 wv,qo,,,
呗,口贝 kb,口贝 kb,口人 kr,口贝kb,口贝 do,km,口人 kr,口丨 ks,口贝kb
唄,口貝 kb,口貝 kb,口貝 kb,口貝kb,口貝 do,km,,口丨 ks,
擺,扌罷 fb,扌匕 fb,扌匕 fb,扌罷fb｜扌能fn,扌匕 uv,rl,,扌丨 fs,
敗,攵貝 wb,貝攵 bw, ow,攵貝wb,貝攵 oh,mt,,丨丿 sp,
擘,尸手 uu,尸手 uu,尸手 uu,手辟ub｜手辛ux,尸手 cu,nk,尸手 uu,乛扌 vf,尸扌sf
拝,扌丰 ff,扌丰 ff,扌丰 ff,扌丰ff,扌丰 ua,rd,,扌一 fh,
栢,木百 mb,木百 mb,木百 mb,木百mb,木白 eu,sd,,木一 mh,
粨,米百 mb,米百 mb,米百 mb,米百mb,米白 pu,od,,丶一 dh,
粺,米十 mu,米十 mu,米十 mu,米卑mb,米十 pn,or,,丶丿 dp,
韛,韋用 wy,𫝀用 wy, vy,韋用wy,韋 gt,nh,,乛艹 vc,
猈,犭十 qu,犭十 qu,犭十 qu,犭卑qb,犭十 mn,qt,,丿丿 pp,
襬,衤匕 pb,衤匕 pb,匚口 pb,衤罷yb｜衤能yn,衤匕 tv,pu,,丶丨 ds,
㓦,百刂 bd,百刂 bd,百刂 bd,刂百db,一刂 fp,dj,,,
㗑,口丰 kf,口丰 kf,口丰 kf,口拜kb,口丰 da,kr,,,
㗗,口十 ku,口十 ku,口十 ku,.bb｜另卑lb,口十 dn,kl,,,
㠔,. ub,山辛 ux, eu,.ub,山辛 vn,mn,,,
㧳,扌手 fu,扌手 fu,扌手 fu,手扮ub,扌手 uu,rw,,,
㼟,白瓦 bw,白瓦 bw,白瓦 bw,瓦白wb,白瓦 ur,rg,,,
㼣,百瓦 bw,百瓦 bw,百瓦 bw,瓦百wb,一瓦 fr,dj,,,
㿟,白白 bb,白白 bb,白白 bb,白白bb,白白 uu,rr,,,
䒔,艹八 cb,艹八 cb,艹八 cb,艹八cb,艹八 lh,aw,,,
䙓,衤罢 yb,衤去 pq,土乂 ps,衤罢yb,衤厶 tk,pu,,,
䢙,辶貝 zb,辶貝 zb,辶貝 zb,辶貝zb,貝辶 ou,mp,,,
䳆,白鳥 bn,白鳥 bn,白鳥 bn,鳥白nb,白鳥 ux,rw,,,
䴽,來十 lu,來十 lu,來十 lu,麥卑mb,木十 en,sw,,,
庍,广斤 gj,广斤 gj,广斤 gj,广斤gj,广斤 xt,yr,,丶丨 ds,
挀,扌𠂢 fp,扌{𧘇} fy, fn,扌𠂢fp,扌 ut,rr,,扌丿 fp,
瓸,瓦百 wb,瓦百 wb,瓦百 wb,瓦百wb,瓦白 ma,ru,,,
竡,立百 lb,立百 lb,立百 lb,立百lb,立白 iu,ud,,丶一 dh,
絔,糸百 sb,糹百 sb, yb,糸百sb,糹白 iu,xd,,纟一 ih,
薭,艹十 cu,艹十 cu,艹十 cu,艹稗cb,艹十 ln,at,,艹丨 cs,
贁,貝攵 bw,貝攵 bw,⺫寸 ow,貝攵bw｜攵貝wb,貝攵 oh,mm,,丨丿 sp,
𠟻,貝刂 bd,貝刂 bd, od,.db｜貝刂bd,貝刂 op,mm,,,
𠫛,厶厶 ss,厶𠫔 sg, ss,厶厶ss,厶厶 kk,cg,,,
𠮠,口勹 kg,口{⺈} kd," kb,kp",口勹kg,口刀 dp,kq,,,
𡏯,土攵 tw,土攵 tw,土攵 tw,土敗tb,土攵 gh,fm,,,
𡭢,小木 xm,小木 xm,小木 xm,小木xm,小木 ye,is,,,
𢈕,广丿 gp,广{𧘇} gy, gn,广丿gp,广 xt,yr,,,
𢛞,忄十 xu,忄十 xu,忄十 xu,忄卑xb,忄十 hn,nr,,,
𣧙,歹手 du,歹手 du,歹手 du,歹手du,歹手 gu,gq,,,
𤁣,氵罷 db,氵匕 db,氵匕 db,氵罷db,氵匕 kv,il,,,
𤙅,牜巾 nj,牜巾 nj,牜巾 nj,牛布nb,牜巾 qr,tr,,,
𤽹,白十 bu,白十 bu,白十 bu,白卑bb,白十 un,rr,,,
𥬝,竹白 vb,竹白 vb,竹白 vb,竹白vb,⺮白 ru,tr,,,
𦣺,自丨 zl,自丨 zl,自丨 zl,.zu,自丨 og,th,,,
���, az,一自 az,一自 az,,,dh,,,
𦩋,舟非 vf,舟非 vf,舟非 vf,舟非vf,舟 ir,te,,,
𦳞,艹丰 cf,艹丰 cf,艹丰 cf,艹拜cb,⺿丰 la,ar,,,
𨃅,𧾷丰 zf,𧾷丰 zf,𧾷丰 zf,足拜zb,⻊丰 pa,kh,,,
𩋂,革非 gf,革非 gf,革非 gf,革非gf,革 tr,af,,,
𩎻,韋非 wf,𫝀非 wf, vf,韋非wf,韋 gr,nh,,,
𩏞,韋累 wl,𫝀糸 wx, vx,韋累wl,韋糸 gi,nh,,,
𩑢,不頁 by,不頁 by, bb,頁不yb｜不頁by,不頁 cw,gi,,,
辦,辛辛 xx,辛力 xl, lu,力辛lx｜辛辛xx,辛 nn,ul,,丶乛 dv,
闆,門口 mk,門口 mk,門口 mk,門品mp,門口 ad,uk,,丨口 sk,
粄,米又 my,米又 my,米又 my,米反mf,米又 pr,or,米又 my,丶丿 dp,
跘,足半 zb,𧾷半 zb,𧾷半 zb,足半zb,⻊ pu,kh,,⻊丶 zd,
絆,糸半 sb,糹半 sb, yb,糸半sb,糹 iu,xu,,纟丶 id,
頒,頁分 yf,分頁 fy, bb,頁分yf,八頁 hw,wv,,丿一 ph,
肦,月分 of,⺼分 of, od,月分of,⺼刀 vp,"ew,mu",,月丿 yp,
舨,舟又 vy,舟又 vy,舟又 vy,舟反vf,舟又 ir,te,舟又 vy,丿丿 pp,舟丿vp
蝂,虫又 iy,虫又 iy,𠆢亞 iy,虫版ib,虫又 cr,jt,,虫丿 op,
搫,舟手 vu,舟手 vu, vu,手般ub,舟手 iu,te,,丿扌 pf,
怑,忄半 xb,忄半 xb,忄半 xb,忄半xb,忄 hu,nu,,忄丶 xd,
朌,月分 of,月分 of,禾皿 od,月分of,月刀 vp,ew,,月丿 yp,
姅,女半 nb,女半 nb,⺼八 nb,女半nb,女 bu,vu,,女丶 nd,
鳻,鳥分 nf,分鳥 fn, bn,鳥分nf,八鳥 hx,wv,,丿丿 pp,
鈑,金又 jy,金又 jy,金又 jy,金反jf,金又 zr,qr,,钅丿 jp,
鉡,金半 jb,金半 jb,金半 jb,金半jb,金 zu,qu,,钅丶 jd,
㚘,夫夫 ff,夫夫 ff,夫夫 ff,夫夫ff,夫夫 hh,fw,,,
㩯,扌糸 fx,扌糸 fx, fx,扌繁ff,扌糸 ui,rt,,,
㪵,斗半 db,半斗 bd, bu,斗半db,丷斗 hj,ud,,,
㸞,片片 pp,片片 pp,片片 pp,片片pp,片片 aa,th,,,
䉽,米半 mb,米半 mb,米半 mb,米半mb,米 pu,ou,,,
䕰,艹田 ct,艹田 ct,艹田 ct,艹燔cf,艹田 lq,ao,,,
䬳,飠半 ub,飠半 ub, rb,飠半ub,飠 qu,wy,,,
坢,土半 tb,土半 tb,土半 tb,土半tb,土 gu,fu,,土丶 td,
岅,山反 uf,山又 uy, ey,山反uf,山又 vr,mr,,丨丿 sp,
斒,文卄 wc,文卄 wc,文𠕁 wc,文扁wb,文 vi,yy,,丶丶 dd,
瓪,瓦又 wy,瓦又 wy,瓦又 wy,瓦反wf,瓦又 rr,gn,,一丿 hp,
秚,禾半 hb,禾半 hb,禾半 hb,禾半hb,禾 xu,tu,,禾丶 ed,
螁,虫退 it,虫艮 ig,目束 iz,虫退it,虫辶 cu,jv,,虫乛 ov,
螌,舟虫 vi,舟虫 vi,舟虫 vi,虫般ib,舟虫 ic,te,,丿虫 po,
褩,舟衣 vy,舟衣 vy,舟衣 vy,衣般yb,舟衣 it,te,,丿丶 pd,
辬,. xx,辛文 xw, lu,.wx｜.xx,辛 nn,uy,,丶丶 dd,
魬,魚反 yf,魚又 yy, ay,魚反yf,魚又 wr,qo,,丿丿 pp,
𠔯,八夫 bf,八夫 bf," bd,bn",.bp｜八夫bf,㇏ hi,wo,,,
𠚼,分刂 fd,分刂 fd, bd,.df,八刂 hp,wv,,,
𠦒,. ay,艹丰 cf, al,.uy｜.ay,艹丰 la,fj,,,
𠧫,卜夂 bw,⺊夂 bw, lw,卜夂bw,⺊夊 yh,hj,,,
𠯘,口又 ky,口又 ky,口又 ky,口反kf,口又 dr,kr,,,
𠺚,口班 kb,口リ kl,禾皿 kw,口班kb,口王 dn,kg,,,
𡯘,尢又 yy,尢又 yy,尢又 yy,.wf｜尤反yf,尢又 or,dn,,,
𢲔,扌班 fb,扌リ fl, fw,扌班fb,扌王 un,rg,,,
𢴬,扌文 fw,扌文 fw,扌文 fw,扌斑fb,扌王 un,rg,,,
𣪂,殳丹 ud,丹殳 du, dy,殳丹ud,⺆殳 mr,my,,,
𤡰,犭文 qw,犭文 qw,犭王 qw,犭斑qb,犭王 mn,qt,,,
𤦦,𤣩王 ww,𤣩王 ww,王王 ww,玢王bw,王王 nn,gw,,,
𤫫,分瓜 fg,分瓜 fg, bg,瓜分gf｜分瓜fg,八瓜 hy,wv,,,
𤳖,番去 fq,釆去 cq, ps,番去fq,丿厶 tk,to,,,
𥷁,竹辦 vb,竹力 vl, vu,竹辦vb,⺮辛 rn,tu,,,
𥹓,米去 mq,米去 mq,⺼八 ms,米去mq,米厶 pk,of,,,
𦎊,羊八 yb,羊八 yb,羊八 yb,.ym｜羊八yb,⺶八 gh,ud,,,
𦙹,⺼乂 ox,⺼乂 ox,⺼乂 ox,月乂oi,月乂 vb,en,,,
𦝤,⺼业 oy,⺼业 oy,⺼业 oy,月並ob,月业 vc,eu,,,
𧇥,虍木 hm,虍木 hm,虎木 hm,虎林hl,虎木 ze,ha,,,
𧌿,片虫 pi,片虫 pi,片虫 pi,版虫bi,片虫 ac,th,,,
���,𧾷又 zy,𧾷又 zy,𧾷又 zy,足反zf,⻊又 pr,kh,,,
𨐦,辛風 xf,辛風 xf,立䖝 li,辛風xf,虫 nc,um,,,
𨐱,辛辛 xx,辛月 xx,立十 lu,辛辛xx,辛 nn,ue,,,
𨐾,辛辛 xx,⺄口 vk, vu,辛辛xx,⺄辛 an,nu,,,
𩔮,班頁 by,𤣩頁 wy,王貝 wb,頁班yb｜班頁by,王頁 nw,gy,,,
𩢔,馬半 mb,馬半 mb,馬半 mb,馬半mb,馬 nu,cu,,,
𩭧,髟卑 ib,E十 eu, au,髟卑ib,镸十 pn,de,,,
𩿉,鳥分 nf,鳥分 nf, nd,鳥分nf,鳥刀 xp,wv,,,
𪄕,𤣩鳥 wn,𤣩鳥 wn,王鳥 wn,班鳥bn｜鳥班nb,王鳥 nx,gy,,,
𪒋,黑般 hb,{里}殳 lu, hy,黑般hb,黑殳 pr,lf,,,
旁,亠方 wf,亠方 wf,亠方 wf,亠方wf｜立方lf,方 il,up,亠方 wf,丶丿 dp,亠丿wp
彭,士彡 up,士彡 tp,士丿 up,彡豆pd｜士彡up,彡 he,fk,士彡 up,土丿 tp,土丿tp
幫,巾封 jf,土巾 tj,封巾 fj,帛封bf｜巾封jf,土巾 gr,ff,,土丨 ts,
髈,冎方 gf,冎方 gf,冎方 gf,骨旁gp,骨方 fl,me,,丨丶 sd,
綁,糸邦 sb,糹⻏ se, ye,糸邦sb,糹阝 it,xd,,纟一 ih,
棓,木口 mk,木口 mk,木口 mk,木口mk｜木咅mp,木口 ed,su,木口 lk,木丶 md,木亠mw
牓,片方 pf,片方 pf,片方 pf,片旁pp,片方 al,th,,丿丶 pd,
蜯,虫奉 if,虫𰀁 if, il,虫奉if,虫 cu,jd,,虫一 oh,
艕,舟方 vf,舟方 vf,舟方 vf,舟旁vp,舟方 il,te,,丿丶 pd,
蚄,虫方 if,虫方 if,虫方 if,虫方if,虫方 cl,jy,虫方 if,虫丶 od,虫亠ow
鎊,金方 jf,金方 jf,金方 jf,金旁jp,金方 zl,qu,,钅丶 jd,
㔙,丷力 bl,丷力 bl,并力 bl,力并lb,䒑力 hs,ua,,,
㭋,木丰 mf,木丰 mf,木丰 mf,木丰mf,木丰 ea,sd,,,
㮄,木方 mf,木方 mf,木方 mf,.mp,木方 el,sf,,,
㯁,木口 mk,木口 mk,木口 mk,木陪mp,木口 ed,sb,,,
㾦,疒口 bk,疒口 bk,疒口 bk,.bp,疒口 ad,uu,,,
䂜,石丰 uf,石丰 uf,石丰 uf,石丰uf,石丰 ma,dd,,,
䎧,耒口 lk,耒口 lk,耒口 lk,.lp,耒口 ad,di,,,
䖫,虫干 ig,虫干 ig,虫干 ig,虫干ig,虫干 ce,jw,,,
䟺,足貝 zb,𧾷貝 zb,𧾷貝 zb,足貝zb,⻊貝 po,kh,,,
䧛,⻖方 ef,⻖方 ef,⻖方 ef,阝旁ep,阝方 tl,bu,,,
䰷,魚丰 yf,魚丰 yf, af,魚丰yf,魚丰 wa,qo,,,
垹,土⻏ te,土⻏ te,土⻏ te,土邦tb,土阝 gt,fd,,土一 th,
幇,土巾 tj,土巾 tj,土巾 tj,巾封jf,土巾 gr,ff,,土丨 ts,
幚,丰巾 fj,丰巾 fj,丰巾 fj,邦帛bb｜.jb,巾 ar,dt,,一丨 hs,
挷,扌⻏ fe,扌⻏ fe,扌⻏ fe,扌邦fb,扌阝 ut,rd,,扌一 fh,
捠,扌兵 fb,扌八 fb,扌八 fb,扌兵fb,扌 uh,rr,,扌丿 fp,
硥,石尨 um,石丿 up, ud,.ul｜石尨um,石彡 me,dd,,一一 hh,
稖,禾口 hk,禾口 hk,禾口 hk,禾口hk｜.hp,禾口 xd,tu,,禾丶 ed,
縍,糹方 sf,糹方 sf, yf,糸旁sp,糹方 il,xu,,纟丶 id,
蛖,虫尨 im,虫丿 ip, id,虫尨il｜虫尨im,虫彡 ce,jd,,虫一 oh,
